	C1_s0_L001_R1_001_trimmed.fastqS.bam	C2_s0_L001_R1_001_trimmed.fastqS.bam	C3_s1_L001_R1_001_trimmed.fastqS.bam	C4_s0_L002_R1_001_trimmed.fastqS.bam	C5_s0_L002_R1_001_trimmed.fastqS.bam	NLA1_s0_L001_R1_001_trimmed.fastqS.bam	NLA2_s1_L001_R1_001_trimmed.fastqS.bam	NLA3_s0_L002_R1_001_trimmed.fastqS.bam	NLA4_s0_L002_R1_001_trimmed.fastqS.bam	NLA5_s0_L002_R1_001_trimmed.fastqS.bam	PLS1_s0_L001_R1_001_trimmed.fastqS.bam	PLS2_s0_L001_R1_001_trimmed.fastqS.bam	PLS3_s0_L002_R1_001_trimmed.fastqS.bam	PLS4_s0_L002_R1_001_trimmed.fastqS.bam	PLS5_s0_L002_R1_001_trimmed.fastqS.bam
hsa-miR-4681	1	1	0	1	2	0	0	1	0	0	0	0	2	3	0
hsa-miR-4682	8	4	4	4	4	0	3	2	1	2	3	0	6	0	0
hsa-miR-4683	1	0	0	1	0	0	2	0	0	0	0	0	0	2	1
hsa-miR-4684-3p	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0
hsa-miR-4684-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4685-3p	6	5	2	1	5	5	6	6	3	9	4	6	7	4	6
hsa-miR-4685-5p	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-4686	2	5	1	1	0	0	0	0	1	0	0	0	0	1	0
hsa-miR-4687-3p	2	0	0	1	1	0	1	0	0	0	0	3	1	0	0
hsa-miR-4687-5p	0	3	3	2	2	1	2	2	0	4	1	0	3	4	4
hsa-miR-4688	3	2	1	2	3	1	1	1	0	0	0	3	2	0	0
hsa-miR-4689	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4690-3p	2	1	1	2	0	1	3	2	0	1	3	5	5	1	1
hsa-miR-4690-5p	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-4691-3p	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4691-5p	0	4	0	7	8	0	0	7	3	6	0	1	2	5	1
hsa-miR-4692	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4693-3p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4693-5p	1	1	2	2	1	0	1	0	0	0	0	0	1	0	1
hsa-miR-4694-3p	1	3	2	1	1	0	1	0	1	1	0	0	0	1	0
hsa-miR-4694-5p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4695-3p	1	1	0	1	2	0	2	0	0	0	0	0	0	0	1
hsa-miR-4695-5p	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0
hsa-miR-4696	3	1	3	4	0	0	0	1	2	2	1	0	1	0	0
hsa-miR-4697-3p	3	0	2	0	1	2	4	2	0	0	2	2	2	6	3
hsa-miR-4697-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4698	2	2	0	0	2	0	0	0	0	0	0	1	0	0	0
hsa-miR-4699-3p	1	0	0	1	0	0	0	0	0	0	3	0	4	5	0
hsa-miR-4699-5p	2	3	1	4	3	1	0	0	0	0	0	0	3	0	0
hsa-miR-4700-3p	1	1	1	0	1	0	0	2	0	0	0	1	0	0	1
hsa-miR-4700-5p	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4701-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4701-5p	0	2	2	2	1	1	0	2	0	0	0	0	2	1	0
hsa-miR-4703-3p	0	1	0	0	1	1	0	2	0	0	1	0	0	1	4
hsa-miR-4703-5p	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0
hsa-miR-4704-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4704-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4705	9	13	9	8	23	9	8	10	3	6	28	18	18	9	5
hsa-miR-4706	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-4707-3p	0	1	1	23	24	3	3	2	1	0	2	2	27	6	9
hsa-miR-4707-5p	0	4	1	2	0	1	2	0	2	0	1	0	0	0	1
hsa-miR-4708-3p	4	5	1	1	0	0	0	1	2	1	1	0	0	0	1
hsa-miR-4708-5p	3	4	0	1	0	0	0	1	2	0	1	0	0	0	1
hsa-miR-4709-3p	0	3	0	3	4	0	4	1	0	0	3	3	1	3	1
hsa-miR-4709-5p	0	3	3	3	2	0	2	1	0	2	0	0	1	0	2
hsa-miR-4710	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4711-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-4711-5p	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0
hsa-miR-4712-3p	2	1	0	0	0	0	1	0	0	0	1	0	0	3	0
hsa-miR-4712-5p	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-4713-3p	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0
hsa-miR-4713-5p	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4714-3p	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0
hsa-miR-4714-5p	0	0	0	0	1	0	3	0	0	0	1	0	1	1	0
hsa-miR-4715-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4715-5p	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4716-3p	1	2	1	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-4716-5p	3	0	1	1	0	0	0	1	0	1	0	0	1	0	0
hsa-miR-4717-3p	1	1	3	1	4	1	4	1	1	2	3	3	4	4	1
hsa-miR-4717-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4718	0	1	1	2	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-4719	2	2	1	1	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-4720-3p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4720-5p	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
hsa-miR-4721	0	1	0	0	0	2	0	3	0	0	0	0	1	0	0
hsa-miR-4722-3p	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0
hsa-miR-4722-5p	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0
hsa-miR-4723-3p	1	1	0	0	3	0	0	0	0	0	0	1	1	0	0
hsa-miR-4723-5p	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0
hsa-miR-4724-3p	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-4724-5p	2	0	2	1	0	0	1	0	0	0	0	0	1	2	2
hsa-miR-4725-3p	9	7	10	12	16	13	14	20	6	8	5	13	10	7	9
hsa-miR-4725-5p	2	2	0	2	0	3	0	4	0	0	0	1	1	2	1
hsa-miR-4726-3p	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4726-5p	1	1	0	3	1	1	5	1	1	0	0	0	2	1	0
hsa-miR-4727-3p	1	0	1	1	1	1	1	0	1	1	0	1	2	0	0
hsa-miR-4727-5p	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0
hsa-miR-4728-3p	2	2	2	3	2	0	5	0	1	3	2	2	12	2	1
hsa-miR-4728-5p	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4729	5	2	4	3	3	3	4	1	0	2	2	0	0	0	0
hsa-miR-4730	0	1	0	2	3	0	0	2	2	0	1	0	0	1	0
hsa-miR-4731-3p	0	2	2	0	0	1	0	0	0	1	0	2	0	4	0
hsa-miR-4731-5p	1	1	2	0	0	0	1	0	0	1	0	1	0	0	0
hsa-miR-4732-3p	2	1	1	2	2	0	1	0	1	1	1	0	0	1	2
hsa-miR-4732-5p	3	2	1	1	3	0	0	0	1	1	1	0	2	0	0
hsa-miR-4733-3p	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-4733-5p	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4734	6	2	4	4	4	1	9	3	1	7	4	1	2	3	0
hsa-miR-4735-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4735-5p	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0
hsa-miR-4736	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4737	0	0	0	2	1	0	1	1	0	1	1	0	1	0	1
hsa-miR-4738-3p	1	2	4	3	7	7	2	5	2	3	3	3	0	0	1
hsa-miR-4738-5p	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4739	1	1	1	1	4	9	3	0	1	1	3	2	7	17	9
hsa-miR-4740-3p	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-4740-5p	2	0	2	1	0	0	0	0	0	0	0	1	0	1	0
hsa-miR-4741	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0
hsa-miR-4742-3p	3	5	1	5	6	2	6	3	2	5	1	4	4	4	1
hsa-miR-4742-5p	0	0	3	2	1	1	0	0	0	0	0	0	0	0	0
hsa-miR-4743-3p	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4743-5p	0	1	0	0	0	0	0	2	2	4	1	1	1	0	0
hsa-miR-4744	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4745-3p	7	2	1	6	4	2	2	1	1	1	1	2	0	3	0
hsa-miR-4745-5p	1	1	2	1	1	1	1	0	0	0	1	0	0	1	0
hsa-miR-4746-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4746-5p	3	2	5	5	7	1	5	1	0	1	1	0	2	1	1
hsa-miR-4747-3p	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4747-5p	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-4748	1	0	2	2	1	0	0	2	0	0	0	0	0	0	1
hsa-miR-4749-3p	4	2	1	0	1	3	2	0	1	1	0	2	2	0	0
hsa-miR-4749-5p	1	0	0	0	0	1	0	2	0	0	0	0	2	1	0
hsa-miR-4750-3p	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0
hsa-miR-4750-5p	1	1	1	1	2	0	3	1	0	0	1	1	0	0	0
hsa-miR-4751	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-4752	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-4753-3p	2	0	1	0	1	0	2	0	0	0	0	0	0	4	0
hsa-miR-4753-5p	1	1	1	1	1	1	0	0	0	1	0	0	1	0	0
hsa-miR-4754	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0
hsa-miR-4755-3p	1	0	1	2	1	4	1	0	0	1	0	0	1	16	0
hsa-miR-4755-5p	1	0	2	1	1	1	0	2	1	1	1	0	1	1	0
hsa-miR-4756-3p	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4756-5p	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0
hsa-miR-4757-3p	4	4	2	1	3	2	3	2	1	2	1	2	1	0	0
hsa-miR-4757-5p	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0
hsa-miR-4758-3p	9	9	6	6	13	3	9	11	2	1	0	0	3	21	11
hsa-miR-4758-5p	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0
hsa-miR-4759	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-4760-3p	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0
hsa-miR-4760-5p	1	1	0	2	1	0	1	0	1	0	0	0	0	1	0
hsa-miR-4761-3p	1	1	0	1	1	1	0	0	0	1	0	1	1	0	1
hsa-miR-4761-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4762-3p	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1
hsa-miR-4762-5p	3	6	4	3	1	0	2	2	0	1	0	0	1	2	1
hsa-miR-4763-3p	5	3	1	2	3	3	5	1	1	0	2	1	0	1	0
hsa-miR-4763-5p	9	9	3	7	8	2	3	2	5	0	3	2	2	0	0
hsa-miR-4764-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4764-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4765	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4766-3p	1	3	1	0	2	1	1	1	0	0	0	1	3	1	2
hsa-miR-4766-5p	1	1	2	0	2	2	1	0	0	0	0	0	0	1	1
hsa-miR-4767	13	16	5	14	10	9	13	6	2	1	10	8	11	13	1
hsa-miR-4768-3p	0	2	0	1	0	0	1	0	0	1	1	0	0	0	0
hsa-miR-4768-5p	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
hsa-miR-4769-3p	2	2	2	1	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-4769-5p	0	1	1	0	0	2	0	0	0	0	1	0	0	2	1
hsa-miR-4770	2	2	1	0	1	0	0	0	0	0	1	0	0	0	0
hsa-miR-4771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4772-3p	2	0	2	0	1	0	0	0	0	0	0	0	0	0	1
hsa-miR-4772-5p	1	2	2	0	1	1	0	0	0	0	0	2	1	7	4
hsa-miR-4773	5	2	1	1	4	2	1	2	0	0	0	0	0	0	0
hsa-miR-4774-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4774-5p	3	1	0	1	0	5	0	1	0	1	3	0	0	0	0
hsa-miR-4775	11	12	15	9	8	6	3	8	3	8	7	13	8	15	13
hsa-miR-4776-3p	0	1	2	2	0	1	0	1	0	0	0	0	0	0	0
hsa-miR-4776-5p	1	2	0	0	1	0	1	0	1	0	1	2	0	0	2
hsa-miR-4777-3p	1	0	0	0	0	0	1	0	1	1	1	1	1	2	2
hsa-miR-4777-5p	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-4778-3p	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4778-5p	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4779	3	1	1	0	1	0	3	1	0	0	1	0	1	1	0
hsa-miR-4780	24	29	19	18	26	11	28	12	7	11	5	3	5	0	2
hsa-miR-4781-3p	1	0	1	1	1	1	4	0	2	2	1	4	1	2	3
hsa-miR-4781-5p	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
hsa-miR-4782-3p	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
hsa-miR-4782-5p	1	1	2	1	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4783-3p	10	12	4	7	11	2	10	9	2	5	4	1	7	2	0
hsa-miR-4783-5p	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4784	3	1	2	2	1	0	0	1	0	0	0	0	0	0	0
hsa-miR-4785	1	5	0	1	0	0	0	2	0	2	1	1	3	4	0
hsa-miR-4786-3p	2	1	1	0	1	0	0	1	1	0	1	0	0	1	0
hsa-miR-4786-5p	5	7	4	6	6	1	7	7	1	7	1	0	2	0	2
hsa-miR-4787-3p	34	49	32	28	34	19	52	34	24	43	25	18	19	23	10
hsa-miR-4787-5p	2	2	2	1	2	0	1	0	1	0	0	3	0	1	0
hsa-miR-4788	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4789-3p	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4789-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4790-3p	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0
hsa-miR-4790-5p	0	1	1	1	0	0	0	2	0	1	0	2	1	1	1
hsa-miR-4791	11	6	9	11	15	6	3	13	2	3	10	10	9	4	2
hsa-miR-4792	135	146	123	86	107	392	187	196	98	300	70	76	126	672	280
hsa-miR-4793-3p	1	0	2	3	1	0	0	1	0	0	0	0	1	1	0
hsa-miR-4793-5p	2	0	0	1	0	1	1	0	0	1	1	1	0	1	0
hsa-miR-4794	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4795-3p	1	2	1	2	2	0	0	0	0	0	0	0	0	1	2
hsa-miR-4795-5p	1	0	1	1	1	1	0	0	1	0	1	1	4	1	0
hsa-miR-4796-3p	3	5	2	0	2	1	2	2	0	0	2	2	3	0	0
hsa-miR-4796-5p	1	4	1	3	1	0	0	1	0	4	4	1	2	0	0
hsa-miR-4797-3p	761	874	643	685	699	416	523	592	411	177	458	400	325	319	272
hsa-miR-4797-5p	751	860	637	679	697	415	519	590	410	174	455	396	321	316	271
hsa-miR-4798-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4798-5p	2	6	2	1	0	0	3	2	1	1	2	0	0	1	1
hsa-miR-4799-3p	0	0	0	1	1	0	0	2	0	0	1	0	0	0	0
hsa-miR-4799-5p	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-4800-3p	2	3	4	12	12	1	2	4	0	1	2	2	4	3	0
hsa-miR-4800-5p	0	3	2	1	0	0	0	1	1	0	0	0	2	1	1
hsa-miR-4801	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0
hsa-miR-4802-3p	0	0	0	0	1	0	0	0	0	1	0	0	0	1	4
hsa-miR-4802-5p	1	0	0	1	0	0	1	1	0	0	0	0	0	2	1
hsa-miR-4803	0	1	1	0	1	1	1	1	0	0	4	0	1	1	2
hsa-miR-4804-3p	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-4804-5p	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-483-3p	23	17	16	12	14	11	5	13	2	11	8	8	13	6	6
hsa-miR-483-5p	7	8	5	3	6	5	4	5	0	1	5	4	5	3	8
hsa-miR-484	1154	1300	1026	963	1086	984	1329	915	395	545	724	974	917	585	468
hsa-miR-485-3p	355	445	348	555	621	213	214	166	39	153	111	192	168	50	15
hsa-miR-485-5p	77	80	62	77	86	78	74	52	31	27	72	85	90	15	4
hsa-miR-486-3p	5	16	9	1	5	7	3	0	2	4	2	4	3	6	1
hsa-miR-486-5p	7504	8409	6641	4631	5174	7125	4675	4247	1595	2635	5747	5119	4589	5037	3078
hsa-miR-487a-3p	214	286	215	283	373	116	72	55	22	63	77	114	101	28	11
hsa-miR-487a-5p	8	15	6	12	17	5	10	7	2	4	13	6	9	0	1
hsa-miR-487b-3p	791	919	730	905	1071	455	279	227	66	192	314	410	381	75	25
hsa-miR-487b-5p	3	4	2	6	3	2	5	4	0	2	5	4	2	2	0
hsa-miR-488-3p	516	528	476	528	599	275	547	581	242	210	505	503	910	464	276
hsa-miR-488-5p	18	13	16	7	18	9	15	6	6	4	21	16	28	18	9
hsa-miR-489-3p	5	7	7	1	6	11	7	8	3	6	12	5	13	4	4
hsa-miR-489-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-490-3p	133	154	111	139	171	128	90	109	39	55	143	214	194	28	10
hsa-miR-490-5p	16	7	14	23	37	14	16	14	3	9	7	18	14	4	0
hsa-miR-491-3p	13	18	6	13	13	6	10	5	0	11	11	6	10	4	1
hsa-miR-491-5p	20	22	19	14	24	32	20	17	8	20	28	36	32	14	6
hsa-miR-492	2	0	0	1	0	1	1	0	0	0	1	0	0	0	0
hsa-miR-493-3p	7	3	6	11	6	2	4	2	1	6	2	4	4	1	3
hsa-miR-493-5p	7	8	5	18	17	4	5	7	1	6	6	8	7	7	1
hsa-miR-494-3p	26	37	24	35	38	11	24	26	16	13	12	22	23	7	4
hsa-miR-494-5p	0	2	0	1	0	1	0	2	0	1	0	0	0	0	0
hsa-miR-495-3p	221	304	216	276	389	173	118	98	58	118	106	150	124	34	10
hsa-miR-495-5p	1	4	1	1	4	0	3	1	0	3	2	0	0	1	0
hsa-miR-496	25	25	20	14	22	8	7	6	2	4	6	11	5	3	2
hsa-miR-497-3p	7	5	4	3	5	2	7	16	2	1	10	13	20	8	9
hsa-miR-497-5p	1004	1105	867	909	1145	884	1030	1010	309	786	1457	1593	2664	1426	950
hsa-miR-498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4999-3p	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-4999-5p	5	2	3	2	2	3	2	2	0	3	4	2	1	3	1
hsa-miR-499a-3p	5	9	1	2	4	0	4	5	3	1	4	4	1	0	1
hsa-miR-499a-5p	198	216	167	221	263	183	131	121	23	76	113	189	195	62	52
hsa-miR-499b-3p	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-499b-5p	0	4	5	2	0	0	2	0	0	0	0	0	0	0	0
hsa-miR-5000-3p	8	7	5	7	2	3	7	6	1	5	3	4	1	0	1
hsa-miR-5000-5p	0	3	1	2	6	2	1	3	1	3	0	1	1	1	0
hsa-miR-5001-3p	10	12	15	14	9	7	9	2	1	2	4	8	14	3	2
hsa-miR-5001-5p	1	0	1	1	1	3	0	1	1	0	0	0	4	3	2
hsa-miR-5002-3p	0	1	0	2	2	0	0	1	0	1	0	0	0	0	0
hsa-miR-5002-5p	3	11	6	7	3	2	2	6	0	1	7	2	3	4	0
hsa-miR-5003-3p	1	1	1	1	0	0	1	1	0	1	0	0	0	0	2
hsa-miR-5003-5p	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5004-3p	2	0	2	2	1	0	3	1	0	0	2	0	0	1	0
hsa-miR-5004-5p	3	1	0	0	0	0	0	0	0	0	1	2	1	0	1
hsa-miR-5006-3p	5	4	2	8	8	4	1	1	0	3	2	4	5	2	3
hsa-miR-5006-5p	0	2	1	3	1	1	0	0	1	1	0	0	0	1	0
hsa-miR-5007-3p	2	2	2	0	1	1	0	0	0	0	0	0	0	0	0
hsa-miR-5007-5p	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0
hsa-miR-5008-3p	0	1	0	0	2	1	0	1	0	0	1	1	0	0	0
hsa-miR-5008-5p	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5009-3p	2	4	0	0	0	1	0	0	1	0	1	0	0	0	1
hsa-miR-5009-5p	2	4	3	0	3	2	1	1	2	0	0	1	0	0	0
hsa-miR-500a-3p	541	578	538	592	602	494	708	773	459	387	675	634	922	855	652
hsa-miR-500a-5p	15	21	18	18	21	15	20	21	7	17	20	15	25	20	22
hsa-miR-500b-3p	1	2	3	1	3	1	1	0	1	3	1	0	2	2	0
hsa-miR-500b-5p	15	21	16	17	20	15	20	21	7	17	20	15	25	20	22
hsa-miR-501-3p	212	174	123	145	171	155	233	202	115	115	221	195	271	304	128
hsa-miR-501-5p	23	23	8	26	22	15	37	21	22	22	23	24	40	33	12
hsa-miR-5010-3p	32	32	23	31	27	19	27	23	14	23	21	15	21	6	11
hsa-miR-5010-5p	3	4	4	2	3	1	2	1	1	1	0	2	2	1	1
hsa-miR-5011-3p	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-5011-5p	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-502-3p	11	15	15	21	16	9	24	34	14	23	23	35	31	27	23
hsa-miR-502-5p	9	10	8	6	5	8	8	8	2	13	18	11	19	15	5
hsa-miR-503-3p	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-503-5p	10	4	4	6	10	4	8	3	2	14	8	9	5	5	4
hsa-miR-504-3p	0	1	1	1	1	1	1	0	0	0	0	0	1	2	0
hsa-miR-504-5p	109	106	113	116	139	67	51	50	5	42	48	72	82	17	7
hsa-miR-5047	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-505-3p	140	179	179	179	184	121	163	159	85	146	80	123	118	125	73
hsa-miR-505-5p	6	6	5	6	3	1	0	6	0	1	2	9	2	6	2
hsa-miR-506-3p	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0
hsa-miR-506-5p	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-507	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-508-3p	4	3	2	2	6	0	2	3	0	3	4	3	4	1	3
hsa-miR-508-5p	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-5087	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-5088-3p	2	7	1	7	9	1	2	0	1	1	0	0	6	2	0
hsa-miR-5088-5p	1	3	0	1	1	0	1	0	0	0	0	0	0	1	1
hsa-miR-5089-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-5089-5p	3	2	1	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-509-3-5p	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-509-3p	4	4	1	2	5	2	3	2	2	3	9	3	10	0	4
hsa-miR-509-5p	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-5090	3	1	0	0	1	1	0	1	0	1	0	2	1	0	1
hsa-miR-5091	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-5092	1	0	0	0	1	0	0	0	1	0	1	2	0	0	1
hsa-miR-5093	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-5094	0	1	1	2	2	3	1	1	1	0	3	0	0	1	0
hsa-miR-5095	41	55	52	31	36	3	3	5	5	4	5	2	3	14	0
hsa-miR-5096	683	816	595	490	580	125	130	156	88	54	79	62	58	149	102
hsa-miR-510-3p	0	0	1	0	1	0	1	6	1	7	0	0	0	1	0
hsa-miR-510-5p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-5100	920	1182	829	800	932	2620	2093	2565	1861	3606	5420	3322	2516	4006	4191
hsa-miR-511-3p	1	1	2	6	1	2	1	1	0	1	3	5	4	2	0
hsa-miR-511-5p	1	2	0	1	2	2	2	5	0	0	0	0	2	3	4
hsa-miR-512-3p	2	6	3	3	2	4	3	2	0	1	0	3	0	1	2
hsa-miR-512-5p	0	1	1	2	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-513a-3p	1	1	2	0	1	1	0	0	1	1	0	0	1	0	0
hsa-miR-513a-5p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-513b-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-513b-5p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-513c-3p	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-513c-5p	9	8	12	4	7	4	4	1	3	1	1	2	0	0	0
hsa-miR-514a-3p	6	5	7	9	9	6	5	4	1	4	5	6	9	0	5
hsa-miR-514a-5p	1	1	1	0	1	1	0	0	1	0	2	0	0	1	1
hsa-miR-514b-3p	4	1	3	1	6	1	3	3	2	2	1	7	1	3	2
hsa-miR-514b-5p	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0
hsa-miR-515-3p	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-515-5p	2	1	1	1	0	0	2	2	0	1	1	0	2	3	0
hsa-miR-516a-3p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-516a-5p	3	3	3	2	4	6	7	5	0	2	2	4	6	0	0
hsa-miR-516b-3p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-516b-5p	3	2	1	1	3	0	0	1	1	1	1	0	0	0	0
hsa-miR-517-5p	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-517a-3p	0	2	0	1	0	0	1	0	0	0	0	0	1	0	0
